Name;Currency;Type;Sub Type;Market;Isin Code;Industry;Supersector;Sector;Subsector;Average Training Hours Per Employee;Number Of Female Board Members;Number Of Board Members;Market Cap In Usd;Carbon Footprint (Total Ghg Emissions / Enterprise Value)_In_Usd;Share Of Women In Total Workforce In %;Share Of Women In Management Bodies In %;Gender Pay Gap In %;Rate Of Employees With Disabilities In %;Board Gender Diversity (Female Board Members / Total Board Members) In %;Total Energy Consumption In Mwh;Rate Of Resignation In %;Component;Isin;Ticker;Trading Location;Issuer Country;Turnover;Turnover In Eur;Volume;Roa;Roe;Roic;Ccy;Index;Component;Ticker
DANONE;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000120644;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102020, Food Products;;;;42715470000.0;;;;;;;;;Danone Sa;FR0000120644;BN;Euronext Paris;France;72653044.11;72653044.11;1213072.0;4.9;5.6;10.4;EUR;CAC_40;DANONE SA;BN
DASSAULT SYSTEMES;EUR;Stock;Ordinary Shares;Euronext Paris;FR0014003TT8;10, Technology;1010, Technology;101010, Software and Computer Services;10101015, Software;27.9;6.0;12.0;54964830000.0;3.915023;0.281;0.385;;0.027;0.5;82766.0;;Dassault Systemes Se;FR0014003TT8;DSY;Euronext Paris;France;63240288.215;63240288.215;1539715.0;5.6;13.8;11.2;EUR;CAC_40;DASSAULT SYSTEMES SE;DSY
EDENRED;EUR;Stock;Ordinary Shares;Euronext Paris;FR0010908533;50, Industrials;5020, Industrial Goods and Services;502050, Industrial Support Services;50205015, Transaction Processing Services;22.1;6.0;12.0;12471920000.0;6.591200000000001;0.52;0.37;;0.055;0.5;11713829.0;;Edenred;FR0010908533;EDEN;Euronext Paris;France;27183550.11;27183550.11;548825.0;2.8;;13.1;EUR;CAC_40;EDENRED;EDEN
ENGIE;EUR;Stock;Ordinary Shares;Euronext Paris;FR0010208488;65, Utilities;6510, Utilities;651020, Gas, Water and Multi-utilities;65102000, Multi-utilities;28.0;7.0;14.0;41275250000.0;1848.9386;0.265;0.4;0.019;0.035;0.5;217479000.0;0.054;Engie Sa;FR0010208488;ENGI;Euronext Paris;France;107821158.022;107821158.022;6950577.0;3.3;7.7;12.6;EUR;CAC_40;ENGIE SA;ENGI
ESSILORLUXOTTICA;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000121667;20, Health Care;2010, Health Care;201020, Medical Equipment and Services;20102015, Medical Supplies;19.2;6.0;14.0;99406210000.0;14.0384;0.6;0.39;;;0.429;2149000.0;;Essilorluxottica Sa;FR0000121667;EL;Euronext Paris;France;84751068.4;84751068.4;403928.0;3.4;6.3;6.2;EUR;CAC_40;ESSILORLUXOTTICA SA;EL
EUROFINS SCIENT.;EUR;Stock;Ordinary Shares;Euronext Paris;FR0014000MR3;20, Health Care;2010, Health Care;201020, Medical Equipment and Services;20102020, Medical Services;;4.0;8.0;12331750000.0;34.143914;0.57;0.21;;;0.5;742007.0;;Eurofins Scientific Se;FR0014000MR3;ERFSF;Euronext Paris;France;25411233.3;25411233.3;432940.0;4.3;6.2;7.8;EUR;CAC_40;EUROFINS SCIENTIFIC SE;ERFSF
HERMES INTL;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000052292;40, Consumer Discretionary;4020, Consumer Products and Services;402040, Personal Goods;40204020, Clothing and Accessories;21.0;7.0;14.0;263646930000.00003;;0.67;0.4;;0.069;0.5;209100.0;;Hermes International Sca;FR0000052292;RMS;Euronext Paris;France;131245341.5;131245341.5;55310.0;18.6;31.3;32.7;EUR;CAC_40;HERMES INTERNATIONAL SCA;RMS
KERING;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000121485;40, Consumer Discretionary;4020, Consumer Products and Services;402040, Personal Goods;40204020, Clothing and Accessories;13.1;7.0;11.0;44893990000.0;42.4362;0.63;0.42;0.142;0.015;0.636;351130.0;;Kering Sa;FR0000121485;KER;Euronext Paris;France;91962509.5;91962509.5;250449.0;7.9;20.0;13.3;EUR;CAC_40;KERING SA;KER
L'OREAL;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000120321;40, Consumer Discretionary;4020, Consumer Products and Services;402040, Personal Goods;40204035, Cosmetics;36.7;7.0;16.0;242280100000.0;49.284200000000006;0.68;0.32;0.007;0.019;0.438;935591.0;;L'Oreal Sa;FR0000120321;OR;Euronext Paris;France;137161252.3;137161252.3;312490.0;10.3;22.0;21.1;EUR;CAC_40;L'OREAL SA;OR
LEGRAND;EUR;Stock;Ordinary Shares;Euronext Paris;FR0010307819;50, Industrials;5020, Industrial Goods and Services;502020, Electronic and Electrical Equipment;50202010, Electrical Components;22.0;6.0;14.0;27149110000.0;468.1464;;0.25;;0.024;0.429;384000.0;0.066;Legrand Sa;FR0010307819;LR;Euronext Paris;France;63082556.22;63082556.22;642073.0;6.6;17.2;12.7;EUR;CAC_40;LEGRAND SA;LR
LVMH;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000121014;40, Consumer Discretionary;4020, Consumer Products and Services;402040, Personal Goods;40204020, Clothing and Accessories;;7.0;16.0;428608830000.0;2.0116;0.71;;;0.016;0.438;1939763.0;0.165;Lvmh Moet Hennessy Louis Vuitton Se;FR0000121014;MC;Euronext Paris;France;381303740.3;381303740.3;456534.0;10.2;26.7;21.0;EUR;CAC_40;LVMH MOET HENNESSY LOUIS VUITTON SE;MC
MICHELIN;EUR;Stock;Ordinary Shares;Euronext Paris;FR001400AJ45;40, Consumer Discretionary;4010, Automobiles and Parts;401010, Automobiles and Parts;40101015, Tires;41.0;5.0;11.0;26713620000.0;;0.199;0.445;;0.069;0.455;10844175.342;0.054;Compagnie Generale Des Etablissements Michelin Sca;FR001400AJ45;ML;Euronext Paris;France;45002654.45;45002654.45;1265128.0;5.9;11.3;13.5;EUR;CAC_40;COMPAGNIE GENERALE DES ETABLISSEMENTS MICHELIN SCA;ML
ORANGE;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000133308;15, Telecommunications;1510, Telecommunications;151020, Telecommunications Service Providers;15102015, Telecommunications Services;21.1;6.0;15.0;30270300000.0;0.0;0.362;0.341;0.012;0.07;0.4;10620414.0;0.043;Orange Sa;FR0000133308;ORA;Euronext Paris;France;58217811.59;58217811.59;5348634.0;3.2;8.3;7.0;EUR;CAC_40;ORANGE SA;ORA
