Name,Latest PricePrevious Close,LowHigh,+/-%,TimeDate,3 Mo.+/-%,6 Mo.+/-%,1 Year+/-%
CRH plc,72.18 72.18,71.48 72.18,-0.94 -1.29%,05:52 AM 04/21/2024 05:52:53 AM UTC-0400 19.04.2024,13.30 21.33%,11.63 62.97%,30.46 67.39%
Kerry Group plc,78.15 78.15,78.15 78.15,-1.15 -1.45%,02:06 AM 04/21/2024 02:06:36 AM UTC-0400 19.04.2024,3.80 4.97%,0.00 0.00%,-17.70 -18.06%
Kingspan Group plc,79.60 79.60,79.60 79.60,-0.40 -0.50%,02:26 AM 04/21/2024 02:26:01 AM UTC-0400 19.04.2024,10.82 14.99%,0.00 0.00%,22.78 37.83%
