Name,Market Cap In Usd,Currency,Market,Index,Isin Code,Turnover In Eur,Issuer Country,Industry,Supersector,Sector,Subsector,Average Training Hours Per Employee,Number Of Female Board Members,Number Of Board Members,Share Of Women In Total Workforce In %,Share Of Women In Management Bodies In %,Gender Pay Gap In %,Rate Of Employees With Disabilities In %,Board Gender Diversity (Female Board Members / Total Board Members) In %,Total Energy Consumption In Mwh,Rate Of Resignation In %,Carbon Footprint (Total Ghg Emissions / Enterprise Value)_In_Usd,Roa,Roe,Roic
Abn Amro BANK N.V.,8107390000.0,EUR,Euronext Amsterdam,AEX,NL0011540547,54608508.39,Netherlands,"30, Financials","3010, Banks","301010, Banks","30101010, Banks",,,,,,,,,,,,0.7,11.5,
Adyen,47949910000.0,EUR,Euronext Amsterdam,AEX,NL0012969182,105391737.8,Netherlands,"50, Industrials","5020, Industrial Goods and Services","502050, Industrial Support Services","50205015, Transaction Processing Services",,2.0,5.0,0.38,0.27,,,0.4,,,1.5515,5.0,21.0,20.2
Aegon,10854080000.0,EUR,Euronext Amsterdam,AEX,BMG0112X1056,30288814.74,Netherlands,"30, Financials","3030, Insurance","303010, Life Insurance","30301010, Life Insurance",,4.0,9.0,0.51,0.38,,,0.444,40744.0,0.1,1.4017000000000002,,,
Koninklijke Ahold DELHAIZE N.V.,27406980000.0,EUR,Euronext Amsterdam,AEX,NL0011794037,51052231.64,Netherlands,"45, Consumer Staples","4520, Personal Care, Drug and Grocery Stores","452010, Personal Care, Drug and Grocery Stores","45201010, Food Retailers and Wholesalers",,4.0,9.0,0.52,0.25,,,0.444,6812000.0,,,4.4,12.4,10.1
Akzo Nobel,12102770000.0,EUR,Euronext Amsterdam,AEX,NL0013267909,22301447.72,Netherlands,"55, Basic Materials","5520, Chemicals","552010, Chemicals","55201020, Specialty Chemicals",2.5,3.0,8.0,0.27,,,,0.375,1644445.76,0.07,,4.5,10.7,10.0
Asm International N.V.,29046220000.0,EUR,Euronext Amsterdam,AEX,NL0000334118,75407234.7,Netherlands,"10, Technology","1010, Technology","101020, Technology Hardware and Equipment","10102020, Production Technology Equipment",,3.0,6.0,0.17,,0.02,,0.5,87370.0,0.062,,,,
Asml Holding,358163240000.0,EUR,Euronext Amsterdam,AEX,NL0010273215,476268374.9,Netherlands,"10, Technology","1010, Technology","101020, Technology Hardware and Equipment","10102020, Production Technology Equipment",60.0,4.0,9.0,0.2,,,,0.444,480278.162,,57.618109,14.8,70.4,48.7
Asr Nederland,10297680000.0,EUR,Euronext Amsterdam,AEX,NL0011872643,30018025.88,Netherlands,"30, Financials","3030, Insurance","303020, Non-life Insurance","30302010, Full Line Insurance",,,,,,,,,,,,2.4,13.5,12.7
Be Semiconductor Industries N.V.,12042850000.0,EUR,Euronext Amsterdam,AEX,NL0012866412,74758202.05,Netherlands,"10, Technology","1010, Technology","101020, Technology Hardware and Equipment","10102010, Semiconductors",31.0,2.0,5.0,0.17,0.17,,,0.4,22000.0,,1.4017000000000002,13.1,33.7,28.3
Dsm Firmenich AG,29024820000.0,EUR,Euronext Amsterdam,AEX,CH1216478797,44900125.58,Switzerland,"45, Consumer Staples","4510, Food, Beverage and Tobacco","451020, Food Producers","45102020, Food Products",,4.0,12.0,0.37,0.333,,,0.333,,0.036,,,,
Exor,24023640000.0,EUR,Euronext Amsterdam,AEX,NL0012059018,15917681.45,Netherlands,"30, Financials","3020, Financial Services","302020, Investment Banking and Brokerage Services","30202000, Diversified Financial Services",,3.0,9.0,0.5,0.5,,,0.333,,,0.030174,3.2,21.2,7.1
Heineken,54372050000.0,EUR,Euronext Amsterdam,AEX,NL0000009165,41709706.28,Netherlands,"45, Consumer Staples","4510, Food, Beverage and Tobacco","451010, Beverages","45101010, Brewers",6.24,4.0,9.0,0.24,0.28,,,0.444,7009000.0,,224.93754,4.7,10.8,9.3
Imcd,9329330000.0,EUR,Euronext Amsterdam,AEX,NL0010801007,23081484.45,Netherlands,"55, Basic Materials","5520, Chemicals","552010, Chemicals","55201020, Specialty Chemicals",14.0,2.0,5.0,0.54,0.14,,,0.4,35607.251,,38.8624,6.9,17.2,12.2
Ing Groep N.V.,53380160000.0,EUR,Euronext Amsterdam,AEX,NL0011821202,209567441.772,Netherlands,"30, Financials","3010, Banks","301010, Banks","30101010, Banks",,3.0,9.0,,0.333,,,0.333,,,,0.4,7.8,
Kpn Kon,14356190000.0,EUR,Euronext Amsterdam,AEX,NL0000009082,34830780.088,Netherlands,"15, Telecommunications","1510, Telecommunications","151020, Telecommunications Service Providers","15102015, Telecommunications Services",37.2,4.0,8.0,0.221,,0.022,,0.5,565556008.0,,48.42445500000001,7.0,23.0,12.9
Nn Group,13042230000.0,EUR,Euronext Amsterdam,AEX,NL0010773842,36140975.95,Netherlands,"30, Financials","3030, Insurance","303010, Life Insurance","30301010, Life Insurance",,3.0,7.0,0.5,0.4,0.28,,0.429,33000.0,,0.3959,0.8,6.1,7.4
Kon.philips N.v.,18415770000.0,EUR,Euronext Amsterdam,AEX,NL0000009538,38704542.494,Netherlands,"20, Health Care","2010, Health Care","201020, Medical Equipment and Services","20102010, Medical Equipment",,,,,,,,,,,,0.9,,2.1
Prosus,79191770000.0,EUR,Euronext Amsterdam,AEX,NL0013654783,111995463.375,Netherlands,"10, Technology","1010, Technology","101010, Software and Computer Services","10101020, Consumer Digital Services",,6.0,16.0,0.429,,,,0.375,94795.0,,0.2568,,26.0,
Randstad N.v.,9349660000.0,EUR,Euronext Amsterdam,AEX,NL0000379121,42584794.21,Netherlands,"50, Industrials","5020, Industrial Goods and Services","502050, Industrial Support Services","50205025, Business Training and Employment Agencies",18.6,3.0,7.0,0.67,0.23,,0.281,0.429,,,21.701205,5.0,13.0,14.8
Relx,79541660000.0,EUR,Euronext Amsterdam,AEX,GB00B2B0DG97,27024971.09,United Kingdom,"40, Consumer Discretionary","4030, Media","403010, Media","40301030, Publishing",13.86,4.0,10.0,0.5,0.31,,,0.4,110750.0,0.084,1.063125,10.7,49.7,25.3
Shell Plc,233577790000.0,EUR,Euronext Amsterdam,AEX,GB00BP6MXD84,194146348.41,United Kingdom,"60, Energy","6010, Energy","601010, Oil, Gas and Coal","60101000, Integrated Oil and Gas",,6.0,11.0,0.33,0.304,0.207,,0.545,199000000.0,0.05,4267.5616,5.2,10.3,12.4
Universal Music GROUP,52633300000.0,EUR,Euronext Amsterdam,AEX,NL0015000IY2,46643851.91,Netherlands,"40, Consumer Discretionary","4030, Media","403010, Media","40301010, Entertainment",,,,,,,,,,,,,,
Unilever Plc,124696730000.0,EUR,Euronext Amsterdam,AEX,GB00B10RZP78,50160538.405,United Kingdom,"45, Consumer Staples","4520, Personal Care, Drug and Grocery Stores","452010, Personal Care, Drug and Grocery Stores","45201020, Personal Products",,5.0,13.0,0.36,0.23,,,0.385,,,0.0,8.2,33.6,18.5
Wolters Kluwer,37666140000.0,EUR,Euronext Amsterdam,AEX,NL0000395903,79024988.85,Netherlands,"40, Consumer Discretionary","4030, Media","403010, Media","40301030, Publishing",,,,,,,,,,,,8.8,49.6,27.0
Ab Inbev,104149520000.0,EUR,Euronext Brussels,BEL_20,BE0974293251,83477074.78,Belgium,"45, Consumer Staples","4510, Food, Beverage and Tobacco","451010, Beverages","45101010, Brewers",,5.0,15.0,0.22,0.28,,,0.333,15402790.1,,142.249,4.2,7.8,7.9
Ackermans V.haaren,5709520000.0,EUR,Euronext Brussels,BEL_20,BE0003764785,3150358.1,Belgium,"30, Financials","3020, Financial Services","302020, Investment Banking and Brokerage Services","30202000, Diversified Financial Services",,4.0,12.0,0.449,0.143,,,0.333,,,0.0321,1.8,8.2,5.8
Aedifica,2940360000.0,EUR,Euronext Brussels,BEL_20,BE0003851681,4395155.95,Belgium,"35, Real Estate","3510, Real Estate","351020, Real Estate Investment Trusts","35102010, Health Care REITs",20.2,5.0,12.0,0.372,0.2,0.19,,0.417,,,9.412255,2.7,0.7,4.4
Ageas,8672350000.0,EUR,Euronext Brussels,BEL_20,BE0974264930,13835116.04,Belgium,"30, Financials","3030, Insurance","303010, Life Insurance","30301010, Life Insurance",,,,,,,,,,,,2.4,12.5,24.5
Argenx Se,21747750000.0,EUR,Euronext Brussels,BEL_20,NL0010832176,23499302.2,Netherlands,"20, Health Care","2010, Health Care","201030, Pharmaceuticals and Biotechnology","20103010, Biotechnology",,3.0,9.0,0.63,0.39,,,0.333,,0.043,,,8.5,
Cofinimmo,2449230000.0,EUR,Euronext Brussels,BEL_20,BE0003593044,6296631.6,Belgium,"35, Real Estate","3510, Real Estate","351020, Real Estate Investment Trusts","35102010, Health Care REITs",40.5,4.0,13.0,0.53,0.4,,,0.308,260619.0,,9.63,2.6,,4.3
D'ieteren Group,11816010000.0,EUR,Euronext Brussels,BEL_20,BE0974259880,7432817.0,Belgium,"40, Consumer Discretionary","4010, Automobiles and Parts","401010, Automobiles and Parts","40101010, Auto Services",33.9,3.0,10.0,0.5,0.23,,,0.3,453.3,,8.504788000000001,3.5,15.3,7.0
Elia Group,7300610000.0,EUR,Euronext Brussels,BEL_20,BE0003822393,5229124.7,Belgium,"65, Utilities","6510, Utilities","651010, Electricity","65101015, Conventional Electricity",18.46,4.0,14.0,0.229,0.229,,,0.286,,,186.233607,2.3,7.1,4.7
Galapagos,1902460000.0,EUR,Euronext Amsterdam,BEL_20,BE0003818359,5547717.88,Belgium,"20, Health Care","2010, Health Care","201030, Pharmaceuticals and Biotechnology","20103010, Biotechnology",,3.0,9.0,0.56,0.43,,,0.333,18687.0,0.12,17.7513,,,
Gbl,10964290000.0,EUR,Euronext Brussels,BEL_20,BE0003797140,6641866.78,Belgium,"30, Financials","3020, Financial Services","302020, Investment Banking and Brokerage Services","30202000, Diversified Financial Services",9.5,5.0,13.0,0.71,0.25,,,0.385,,,140334.656094,,,
Kbc,31255770000.0,EUR,Euronext Brussels,BEL_20,BE0003565737,36868732.04,Belgium,"30, Financials","3010, Banks","301010, Banks","30101010, Banks",,6.0,16.0,0.57,0.14,,,0.375,,,,1.0,15.1,
Lotus Bakeries,7866640000.0,EUR,Euronext Brussels,BEL_20,BE0003604155,8228330.0,Belgium,"45, Consumer Staples","4510, Food, Beverage and Tobacco","451020, Food Producers","45102020, Food Products",15.0,3.0,10.0,0.51,0.44,,,0.3,184477.0,,,9.2,21.1,17.0
Melexis,3075180000.0,EUR,Euronext Brussels,BEL_20,BE0165385973,2081517.2,Belgium,"10, Technology","1010, Technology","101020, Technology Hardware and Equipment","10102010, Semiconductors",,,,,,,,,,,,22.6,40.5,35.6
Sofina,7761780000.0,EUR,Euronext Brussels,BEL_20,BE0003717312,5461537.4,Belgium,"30, Financials","3020, Financial Services","302020, Investment Banking and Brokerage Services","30202010, Asset Managers and Custodians",,,,,,,,,,,,,,
Solvay,581604920.0,EUR,Euronext Brussels,BEL_20,BE0003470755,7360660.18,Belgium,"55, Basic Materials","5520, Chemicals","552010, Chemicals","55201000, Chemicals: Diversified",12.1,7.0,15.0,0.24,0.265,0.04,,0.467,35277806.0,,2835.035727,3.7,,22.7
Syensqo,5797260000.0,EUR,Euronext Brussels,BEL_20,BE0974464977,17858595.85,Belgium,"55, Basic Materials","5510, Basic Resources","551010, Industrial Materials","55101000, Diversified Materials",,,,,,,,,,,,5.1,3.1,10.4
Ucb,24974870000.0,EUR,Euronext Brussels,BEL_20,BE0003739530,29464937.4,Belgium,"20, Health Care","2010, Health Care","201030, Pharmaceuticals and Biotechnology","20103015, Pharmaceuticals",36.0,5.0,13.0,0.511,0.38,,,0.385,259055.763,0.054,5.912071,1.2,14.8,
Umicore,5568280000.0,EUR,Euronext Brussels,BEL_20,BE0974320526,9184805.78,Belgium,"55, Basic Materials","5520, Chemicals","552010, Chemicals","55201020, Specialty Chemicals",46.6,4.0,10.0,0.234,0.137,,,0.4,2027779.4,0.065,879.528016,3.7,10.4,0.2
Warehouses De PAUW,5864670000.0,EUR,Euronext Brussels,BEL_20,BE0974349814,6229126.0,Belgium,"35, Real Estate","3510, Real Estate","351020, Real Estate Investment Trusts","35102020, Industrial REITs",23.55,2.0,6.0,0.43,0.0,0.014,,0.333,368487596.0,0.02,32.335507,2.7,0.6,4.4
Altri Sgps,1081770000.0,EUR,Euronext Lisbon,PSI_20,PTALT0AE0002,2550086.065,Portugal,"55, Basic Materials","5510, Basic Resources","551010, Industrial Materials","55101015, Paper",29.0,4.0,12.0,0.18,0.24,,,0.333,4707447.377,,281.28224200000005,2.9,8.2,5.8
B.c.p.-bco Comercial PORTUGUES,5068590000.0,EUR,Euronext Lisbon,PSI_20,PTBCP0AM0015,28721189.2075,Portugal,"30, Financials","3010, Banks","301010, Banks","30101010, Banks",45.0,4.0,17.0,0.55,0.25,,0.014,0.235,86666.736,,,1.0,14.4,
Corticeira Amorim-sgps,1379230000.0,EUR,Euronext Lisbon,PSI_20,PTCOR0AE0006,353112.47,Portugal,"50, Industrials","5020, Industrial Goods and Services","502030, General Industrials","50203030, Containers and Packaging",18.0,4.0,10.0,0.26,0.26,0.001,,0.4,504409.015,,179.590405,,13.1,12.0
"Ctt-correios De PORTUGAL, SA",697570450.0,EUR,Euronext Lisbon,PSI_20,PTCTT0AM0001,871324.55,Portugal,"50, Industrials","5020, Industrial Goods and Services","502060, Industrial Transportation","50206040, Delivery Services",12.5,4.0,11.0,0.39,0.399,0.01,0.023,0.364,100952025.206,,20.6938,1.1,25.3,8.6
Edp,16304660000.0,EUR,Euronext Lisbon,PSI_20,PTEDP0AM0009,27912655.959,Portugal,"65, Utilities","6510, Utilities","651010, Electricity","65101010, Alternative Electricity",28.9,6.0,16.0,0.29,0.4,,0.0,0.375,20793905.524,0.058,301.6116,2.2,8.7,4.9
Edp Renovaveis,14210670000.0,EUR,Euronext Lisbon,PSI_20,ES0127797019,15709321.69,Spain,"65, Utilities","6510, Utilities","651010, Electricity","65101010, Alternative Electricity",29.0,5.0,12.0,0.34,0.0,,0.014,0.417,111243.422,0.142,91.9023,0.7,4.0,1.4
Galp Energia-nom,12309280000.0,EUR,Euronext Lisbon,PSI_20,PTGAL0AM0009,16908786.085,Portugal,"60, Energy","6010, Energy","601010, Oil, Gas and Coal","60101000, Integrated Oil and Gas",,5.0,18.0,0.45,0.25,0.19,,0.278,,,,10.8,27.8,23.3
Greenvolt Energias RENOVAVEIS S.A.,1236920000.0,EUR,Euronext Lisbon,PSI_20,PTGNV0AM0001,2188055.085,Portugal,"65, Utilities","6510, Utilities","651010, Electricity","65101010, Alternative Electricity",,4.0,11.0,0.4,,,,0.364,2677468.531,,33.420915,0.5,1.2,0.7
Ibersol-sgps,317273190.0,EUR,Euronext Lisbon,PSI_20,PTIBS0AM0008,71778.74,Portugal,"40, Consumer Discretionary","4050, Travel and Leisure","405010, Travel and Leisure","40501040, Restaurants and Bars",,2.0,5.0,0.53,,,,0.4,,,31.717475,3.1,6.3,5.6
