Name;Currency;Type;Sub type;Market;ISIN Code;Industry;SuperSector;Sector;Subsector;Average training hours per employee;Number of female board members;Number of board members;Market Cap in USD;Carbon footprint (total GHG emissions / enterprise value)_in_USD;Share of women in total workforce in %;Share of women in management bodies in %;Gender pay gap in %;Rate of employees with disabilities in %;Board gender diversity (female board members / total board members) in %;Total energy consumption in mwh;Rate of resignation in %
THALES;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000121329;50, Industrials;5020, Industrial Goods and Services;502010, Aerospace and Defense;50201020, Defense;;;;34986860000.0;;;;;;;;
TOTALENERGIES;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000120271;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101000, Integrated Oil and Gas;48.64;6.0;14.0;171981100000.0;1880.7629;0.363;0.275;;0.06;0.429;167000000.0;0.091
UNIBAIL-RODAMCO-WESTFIELD;EUR;Stock;Ordinary Shares;Euronext Paris;FR0013326246;35, Real Estate;3510, Real Estate;351020, Real Estate Investment Trusts;35102045, Retail REITs;19.0;6.0;10.0;11050960000.0;80.6352;0.542;0.167;0.043;0.008;0.6;592834.0;0.094
VEOLIA ENVIRON.;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000124141;65, Utilities;6510, Utilities;651020, Gas, Water and Multi-utilities;65102030, Water;26.0;7.0;13.0;22199290000.0;1396.880613;0.223;0.222;;0.024;0.538;122000000.0;0.086
VINCI;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000125486;50, Industrials;5010, Construction and Materials;501010, Construction and Materials;50101010, Construction;21.5;6.0;14.0;71348670000.0;468.4781;0.168;0.195;;0.018;0.429;10686843.0;0.104
VIVENDI SE;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000127771;40, Consumer Discretionary;4030, Media;403010, Media;40301035, Radio and TV Broadcasters;10.9;7.0;13.0;10878690000.0;10.645216000000001;0.54;0.38;;0.01;0.538;155136.0;0.52
ABN AMRO BANK N.V.;EUR;Stock;Cooperative Investment Certificate;Euronext Amsterdam;NL0011540547;30, Financials;3010, Banks;301010, Banks;30101010, Banks;;;;8107390000.0;;;;;;;;
ADYEN;EUR;Stock;Ordinary Shares;Euronext Amsterdam;NL0012969182;50, Industrials;5020, Industrial Goods and Services;502050, Industrial Support Services;50205015, Transaction Processing Services;;2.0;5.0;47949910000.0;1.5515;0.38;0.27;;;0.4;;
AEGON;EUR;Stock;Ordinary Shares;Euronext Amsterdam;BMG0112X1056;30, Financials;3030, Insurance;303010, Life Insurance;30301010, Life Insurance;;4.0;9.0;10854080000.0;1.4017000000000002;0.51;0.38;;;0.444;40744.0;0.1
KONINKLIJKE AHOLD DELHAIZE N.V.;EUR;Stock;Ordinary Shares;Euronext Amsterdam;NL0011794037;45, Consumer Staples;4520, Personal Care, Drug and Grocery Stores;452010, Personal Care, Drug and Grocery Stores;45201010, Food Retailers and Wholesalers;;4.0;9.0;27406980000.0;;0.52;0.25;;;0.444;6812000.0;
AKZO NOBEL;EUR;Stock;Ordinary Shares;Euronext Amsterdam;NL0013267909;55, Basic Materials;5520, Chemicals;552010, Chemicals;55201020, Specialty Chemicals;2.5;3.0;8.0;12102770000.0;;0.27;;;;0.375;1644445.76;0.07
ARCELORMITTAL SA;EUR;Stock;Ordinary Shares;Euronext Amsterdam;LU1598757687;55, Basic Materials;5510, Basic Resources;551020, Industrial Metals and Mining;55102010, Iron and Steel;;3.0;10.0;21754170000.0;3373.201;;0.157;;;0.3;386666976.0;
ASM International N.V.;EUR;Stock;Ordinary Shares;Euronext Amsterdam;NL0000334118;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102020, Production Technology Equipment;;3.0;6.0;29046220000.0;;0.17;;0.02;;0.5;87370.0;0.062
ASML HOLDING;EUR;Stock;Ordinary Shares;Euronext Amsterdam;NL0010273215;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102020, Production Technology Equipment;60.0;4.0;9.0;358163240000.0;57.618109000000004;0.2;;;;0.444;480278.162;
ASR NEDERLAND;EUR;Stock;Ordinary Shares;Euronext Amsterdam;NL0011872643;30, Financials;3030, Insurance;303020, Non-life Insurance;30302010, Full Line Insurance;;;;10297680000.0;;;;;;;;
BE Semiconductor Industries N.V.;EUR;Stock;Ordinary Shares;Euronext Amsterdam;NL0012866412;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102010, Semiconductors;31.0;2.0;5.0;12042850000.0;1.4017000000000002;0.17;0.17;;;0.4;22000.0;
DSM FIRMENICH AG;EUR;Stock;Ordinary Shares;Euronext Amsterdam;CH1216478797;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102020, Food Products;;4.0;12.0;29024820000.0;;0.37;0.333;;;0.333;;0.036
EXOR;EUR;Stock;Ordinary Shares;Euronext Amsterdam;NL0012059018;30, Financials;3020, Financial Services;302020, Investment Banking and Brokerage Services;30202000, Diversified Financial Services;;3.0;9.0;24023640000.0;0.030174;0.5;0.5;;;0.333;;
HEINEKEN;EUR;Stock;Ordinary Shares;Euronext Amsterdam;NL0000009165;45, Consumer Staples;4510, Food, Beverage and Tobacco;451010, Beverages;45101010, Brewers;6.24;4.0;9.0;54372050000.0;224.93754;0.24;0.28;;;0.444;7009000.0;
IMCD;EUR;Stock;Ordinary Shares;Euronext Amsterdam;NL0010801007;55, Basic Materials;5520, Chemicals;552010, Chemicals;55201020, Specialty Chemicals;14.0;2.0;5.0;9329330000.0;38.8624;0.54;0.14;;;0.4;35607.251;
ING GROEP N.V.;EUR;Stock;Ordinary Shares;Euronext Amsterdam;NL0011821202;30, Financials;3010, Banks;301010, Banks;30101010, Banks;;3.0;9.0;53380160000.0;;;0.333;;;0.333;;
KPN KON;EUR;Stock;Ordinary Shares;Euronext Amsterdam;NL0000009082;15, Telecommunications;1510, Telecommunications;151020, Telecommunications Service Providers;15102015, Telecommunications Services;37.2;4.0;8.0;14356190000.0;48.42445500000001;0.221;;0.022;;0.5;565556008.0;
NN GROUP;EUR;Stock;Ordinary Shares;Euronext Amsterdam;NL0010773842;30, Financials;3030, Insurance;303010, Life Insurance;30301010, Life Insurance;;3.0;7.0;13042230000.0;0.39590000000000003;0.5;0.4;0.28;;0.429;33000.0;
KON.PHILIPS N.V.;EUR;Stock;Ordinary Shares;Euronext Amsterdam;NL0000009538;20, Health Care;2010, Health Care;201020, Medical Equipment and Services;20102010, Medical Equipment;;;;18415770000.0;;;;;;;;
PROSUS;EUR;Stock;Ordinary Shares;Euronext Amsterdam;NL0013654783;10, Technology;1010, Technology;101010, Software and Computer Services;10101020, Consumer Digital Services;;6.0;16.0;79191770000.0;0.2568;0.429;;;;0.375;94795.0;
Randstad N.V.;EUR;Stock;Ordinary Shares;Euronext Amsterdam;NL0000379121;50, Industrials;5020, Industrial Goods and Services;502050, Industrial Support Services;50205025, Business Training and Employment Agencies;18.6;3.0;7.0;9349660000.0;21.701205;0.67;0.23;;0.281;0.429;;
RELX;EUR;Stock;Ordinary Shares;Euronext Amsterdam;GB00B2B0DG97;40, Consumer Discretionary;4030, Media;403010, Media;40301030, Publishing;13.86;4.0;10.0;79541660000.0;1.063125;0.5;0.31;;;0.4;110750.0;0.084
SHELL PLC;EUR;Stock;Ordinary Shares;Euronext Amsterdam;GB00BP6MXD84;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101000, Integrated Oil and Gas;;6.0;11.0;233577790000.0;4267.5616;0.33;0.304;0.207;;0.545;199000000.0;0.05
UNIVERSAL MUSIC GROUP;EUR;Stock;Ordinary Shares;Euronext Amsterdam;NL0015000IY2;40, Consumer Discretionary;4030, Media;403010, Media;40301010, Entertainment;;;;52633300000.0;;;;;;;;
UNILEVER PLC;EUR;Stock;Ordinary Shares;Euronext Amsterdam;GB00B10RZP78;45, Consumer Staples;4520, Personal Care, Drug and Grocery Stores;452010, Personal Care, Drug and Grocery Stores;45201020, Personal Products;;5.0;13.0;124696730000.0;0.0;0.36;0.23;;;0.385;;
WOLTERS KLUWER;EUR;Stock;Ordinary Shares;Euronext Amsterdam;NL0000395903;40, Consumer Discretionary;4030, Media;403010, Media;40301030, Publishing;;;;37666140000.0;;;;;;;;
AB INBEV;EUR;Stock;Ordinary Shares;Euronext Brussels;BE0974293251;45, Consumer Staples;4510, Food, Beverage and Tobacco;451010, Beverages;45101010, Brewers;;5.0;15.0;104149520000.0;142.249;0.22;0.28;;;0.333;15402790.1;
ACKERMANS V.HAAREN;EUR;Stock;Ordinary Shares;Euronext Brussels;BE0003764785;30, Financials;3020, Financial Services;302020, Investment Banking and Brokerage Services;30202000, Diversified Financial Services;;4.0;12.0;5709520000.0;0.032100000000000004;0.449;0.143;;;0.333;;
AEDIFICA;EUR;Stock;Ordinary Shares;Euronext Brussels;BE0003851681;35, Real Estate;3510, Real Estate;351020, Real Estate Investment Trusts;35102010, Health Care REITs;20.2;5.0;12.0;2940360000.0;9.412255;0.372;0.2;0.19;;0.417;;
AGEAS;EUR;Stock;Ordinary Shares;Euronext Brussels;BE0974264930;30, Financials;3030, Insurance;303010, Life Insurance;30301010, Life Insurance;;;;8672350000.0;;;;;;;;
ARGENX SE;EUR;Stock;Ordinary Shares;Euronext Brussels;NL0010832176;20, Health Care;2010, Health Care;201030, Pharmaceuticals and Biotechnology;20103010, Biotechnology;;3.0;9.0;21747750000.0;;0.63;0.39;;;0.333;;0.043
COFINIMMO;EUR;Stock;Ordinary Shares;Euronext Brussels;BE0003593044;35, Real Estate;3510, Real Estate;351020, Real Estate Investment Trusts;35102010, Health Care REITs;40.5;4.0;13.0;2449230000.0;9.63;0.53;0.4;;;0.308;260619.0;
D'IETEREN GROUP;EUR;Stock;Ordinary Shares;Euronext Brussels;BE0974259880;40, Consumer Discretionary;4010, Automobiles and Parts;401010, Automobiles and Parts;40101010, Auto Services;33.9;3.0;10.0;11816010000.0;8.504788000000001;0.5;0.23;;;0.3;453.3;
ELIA GROUP;EUR;Stock;Ordinary Shares;Euronext Brussels;BE0003822393;65, Utilities;6510, Utilities;651010, Electricity;65101015, Conventional Electricity;18.46;4.0;14.0;7300610000.0;186.233607;0.229;0.229;;;0.286;;
GALAPAGOS;EUR;Stock;Ordinary Shares;Euronext Amsterdam;BE0003818359;20, Health Care;2010, Health Care;201030, Pharmaceuticals and Biotechnology;20103010, Biotechnology;;3.0;9.0;1902460000.0;17.7513;0.56;0.43;;;0.333;18687.0;0.12
GBL;EUR;Stock;Ordinary Shares;Euronext Brussels;BE0003797140;30, Financials;3020, Financial Services;302020, Investment Banking and Brokerage Services;30202000, Diversified Financial Services;9.5;5.0;13.0;10964290000.0;140334.656094;0.71;0.25;;;0.385;;
KBC;EUR;Stock;Ordinary Shares;Euronext Brussels;BE0003565737;30, Financials;3010, Banks;301010, Banks;30101010, Banks;;6.0;16.0;31255770000.0;;0.57;0.14;;;0.375;;
LOTUS BAKERIES;EUR;Stock;Ordinary Shares;Euronext Brussels;BE0003604155;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102020, Food Products;15.0;3.0;10.0;7866640000.0;;0.51;0.44;;;0.3;184477.0;
MELEXIS;EUR;Stock;Ordinary Shares;Euronext Brussels;BE0165385973;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102010, Semiconductors;;;;3075180000.0;;;;;;;;
SOFINA;EUR;Stock;Ordinary Shares;Euronext Brussels;BE0003717312;30, Financials;3020, Financial Services;302020, Investment Banking and Brokerage Services;30202010, Asset Managers and Custodians;;;;7761780000.0;;;;;;;;
SOLVAY;EUR;Stock;Ordinary Shares;Euronext Brussels;BE0003470755;55, Basic Materials;5520, Chemicals;552010, Chemicals;55201000, Chemicals: Diversified;12.1;7.0;15.0;581604920.0;2835.035727;0.24;0.265;0.04;;0.467;35277806.0;
SYENSQO;EUR;Stock;Ordinary Shares;Euronext Brussels;BE0974464977;55, Basic Materials;5510, Basic Resources;551010, Industrial Materials;55101000, Diversified Materials;;;;5797260000.0;;;;;;;;
UCB;EUR;Stock;Ordinary Shares;Euronext Brussels;BE0003739530;20, Health Care;2010, Health Care;201030, Pharmaceuticals and Biotechnology;20103015, Pharmaceuticals;36.0;5.0;13.0;24974870000.0;5.912071;0.511;0.38;;;0.385;259055.763;0.054
UMICORE;EUR;Stock;Ordinary Shares;Euronext Brussels;BE0974320526;55, Basic Materials;5520, Chemicals;552010, Chemicals;55201020, Specialty Chemicals;46.6;4.0;10.0;5568280000.0;879.528016;0.234;0.137;;;0.4;2027779.4;0.065
WAREHOUSES DE PAUW;EUR;Stock;Ordinary Shares;Euronext Brussels;BE0974349814;35, Real Estate;3510, Real Estate;351020, Real Estate Investment Trusts;35102020, Industrial REITs;23.55;2.0;6.0;5864670000.0;32.335507;0.43;0.0;0.014;;0.333;368487596.0;0.02
ALTRI SGPS;EUR;Stock;Ordinary Shares;Euronext Lisbon;PTALT0AE0002;55, Basic Materials;5510, Basic Resources;551010, Industrial Materials;55101015, Paper;29.0;4.0;12.0;1081770000.0;281.28224200000005;0.18;0.24;;;0.333;4707447.377;
B.C.P.-BCO COMERCIAL PORTUGUES;EUR;Stock;Ordinary Shares;Euronext Lisbon;PTBCP0AM0015;30, Financials;3010, Banks;301010, Banks;30101010, Banks;45.0;4.0;17.0;5068590000.0;;0.55;0.25;;0.014;0.235;86666.736;
Corticeira Amorim-SGPS;EUR;Stock;Ordinary Shares;Euronext Lisbon;PTCOR0AE0006;50, Industrials;5020, Industrial Goods and Services;502030, General Industrials;50203030, Containers and Packaging;18.0;4.0;10.0;1379230000.0;179.590405;0.26;0.26;0.001;;0.4;504409.015;
CTT-CORREIOS DE PORTUGAL, SA;EUR;Stock;Ordinary Shares;Euronext Lisbon;PTCTT0AM0001;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206040, Delivery Services;12.5;4.0;11.0;697570450.0;20.6938;0.39;0.399;0.01;0.023;0.364;100952025.206;
EDP;EUR;Stock;Ordinary Shares;Euronext Lisbon;PTEDP0AM0009;65, Utilities;6510, Utilities;651010, Electricity;65101010, Alternative Electricity;28.9;6.0;16.0;16304660000.0;301.6116;0.29;0.4;;0.0;0.375;20793905.524;0.058
EDP RENOVAVEIS;EUR;Stock;Ordinary Shares;Euronext Lisbon;ES0127797019;65, Utilities;6510, Utilities;651010, Electricity;65101010, Alternative Electricity;29.0;5.0;12.0;14210670000.0;91.90230000000001;0.34;0.0;;0.014;0.417;111243.422;0.142
GALP ENERGIA-NOM;EUR;Stock;Ordinary Shares;Euronext Lisbon;PTGAL0AM0009;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101000, Integrated Oil and Gas;;5.0;18.0;12309280000.0;;0.45;0.25;0.19;;0.278;;
GREENVOLT ENERGIAS RENOVAVEIS S.A.;EUR;Stock;Ordinary Shares;Euronext Lisbon;PTGNV0AM0001;65, Utilities;6510, Utilities;651010, Electricity;65101010, Alternative Electricity;;4.0;11.0;1236920000.0;33.420915;0.4;;;;0.364;2677468.531;
Ibersol-SGPS;EUR;Stock;Ordinary Shares;Euronext Lisbon;PTIBS0AM0008;40, Consumer Discretionary;4050, Travel and Leisure;405010, Travel and Leisure;40501040, Restaurants and Bars;;2.0;5.0;317273190.0;31.717475;0.53;;;;0.4;;
J.MARTINS,SGPS;EUR;Stock;Ordinary Shares;Euronext Lisbon;PTJMT0AE0001;45, Consumer Staples;4520, Personal Care, Drug and Grocery Stores;452010, Personal Care, Drug and Grocery Stores;45201010, Food Retailers and Wholesalers;55.88;4.0;11.0;12059970000.0;1766.3470120000002;0.76;0.669;0.022;0.018;0.364;2080793.331;
MOTA ENGIL;EUR;Stock;Ordinary Shares;Euronext Lisbon;PTMEN0AE0005;50, Industrials;5010, Construction and Materials;501010, Construction and Materials;50101010, Construction;11.1;7.0;15.0;1405980000.0;1403.5832;0.14;0.01;;;0.467;1887065.399;
NOS, SGPS, SA;EUR;Stock;Ordinary Shares;Euronext Lisbon;PTZON0AM0006;15, Telecommunications;1510, Telecommunications;151020, Telecommunications Service Providers;15102015, Telecommunications Services;19.16;5.0;15.0;2000900000.0;0.1391;0.409;0.143;;0.01;0.333;212772.0;
REN;EUR;Stock;Ordinary Shares;Euronext Lisbon;PTREL0AM0008;65, Utilities;6510, Utilities;651010, Electricity;65101015, Conventional Electricity;52.0;5.0;14.0;1570760000.0;66.331761;0.253;0.29;0.017;;0.357;994269.962;
SEMAPA;EUR;Stock;Ordinary Shares;Euronext Lisbon;PTSEM0AM0004;55, Basic Materials;5510, Basic Resources;551010, Industrial Materials;55101015, Paper;29.0;3.0;8.0;1318240000.0;;0.159;0.176;;;0.375;16167851.545;
SONAE;EUR;Stock;Ordinary Shares;Euronext Lisbon;PTSON0AM0001;45, Consumer Staples;4520, Personal Care, Drug and Grocery Stores;452010, Personal Care, Drug and Grocery Stores;45201010, Food Retailers and Wholesalers;21.53;3.0;10.0;1932420000.0;1172.878253;0.66;;0.011;0.007;0.3;806124.812;0.25
THE NAVIGATOR COMP;EUR;Stock;Ordinary Shares;Euronext Lisbon;PTPTI0AM0006;55, Basic Materials;5510, Basic Resources;551010, Industrial Materials;55101015, Paper;41.0;3.0;13.0;3005630000.0;831.3153140000001;0.171;;;;0.231;11434862.203;
AIB GROUP PLC;EUR;Stock;Ordinary Shares;Euronext Dublin;IE00BF0L3536;30, Financials;3010, Banks;301010, Banks;30101010, Banks;30.8;6.0;15.0;14150750000.0;;;0.37;0.189;;0.4;;
BANK OF IRELAND GROUP PLC;EUR;Stock;Ordinary Shares;Euronext Dublin;IE00BD1RP616;30, Financials;3010, Banks;301010, Banks;30101010, Banks;;4.0;11.0;11243560000.0;;;0.46;;;0.364;;
CAIRN HOMES PLC;EUR;Stock;Ordinary Shares;Euronext Dublin;IE00BWY4ZF18;40, Consumer Discretionary;4020, Consumer Products and Services;402020, Household Goods and Home Construction;40202010, Home Construction;;3.0;9.0;1126710000.0;;0.25;0.2;0.195;;0.333;;
CORRE ENERGY B.V.;EUR;Stock;Ordinary Shares;Euronext Growth Dublin;NL0015000DY3;60, Energy;6010, Energy;601020, Alternative Energy;60102020, Renewable Energy Equipment;;0.0;4.0;65889530.00000001;;;;;;0.0;;
CRH PLC;EUR;Stock;Preferred Shares;Euronext Growth Dublin;IE0001827264;50, Industrials;5010, Construction and Materials;501010, Construction and Materials;50101030, Cement;;;;53500.0;;;;;;;;
